,ID,sum,mnth,mnth1,year1,mnth_wo_y1
0,1,5400.0,4,4,2016,9
1,2,6600.0,4,4,2016,9
2,3,3600.0,4,4,2016,9
3,4,2800.0,4,4,2016,9
4,5,5500.0,5,5,2016,10
5,6,2300.0,5,5,2016,10
6,7,5700.0,5,5,2016,10
7,8,2800.0,5,5,2016,10
8,9,1900.0,5,5,2016,10
9,10,1900.0,5,5,2016,10
10,11,5400.0,5,5,2016,10
11,12,2300.0,5,5,2016,10
12,13,6100.0,6,6,2016,11
13,14,4100.0,6,6,2016,11
14,15,5515.81610692131,6,6,2016,11
15,16,2300.0,6,6,2016,11
16,17,5900.0,6,6,2016,11
17,18,4700.0,6,6,2016,11
18,19,3200.0,6,6,2016,11
19,20,1900.0,6,6,2016,11
20,21,1900.0,7,7,2016,12
21,22,4800.0,7,7,2016,12
22,23,6500.0,7,7,2016,12
23,24,4700.0,7,7,2016,12
24,25,2300.0,7,7,2016,12
25,26,5000.0,7,7,2016,12
26,27,5400.0,7,7,2016,12
27,28,2300.0,7,7,2016,12
28,29,2300.0,7,7,2016,12
29,30,3900.0,7,7,2016,12
30,31,1900.0,7,7,2016,12
31,32,1900.0,7,7,2016,12
32,33,23000.0,7,7,2016,12
33,34,4700.0,8,8,2017,1
34,35,2900.0,8,8,2017,1
35,36,1400.0,8,8,2017,1
36,37,4500.0,8,8,2017,1
37,38,3300.0,8,8,2017,1
38,39,5200.0,8,8,2017,1
39,40,5000.0,8,8,2017,1
40,41,6700.0,8,8,2017,1
41,42,2300.0,8,8,2017,1
42,43,2300.0,8,8,2017,1
43,44,2300.0,8,8,2017,1
44,45,3600.0,8,8,2017,1
45,46,4500.0,8,8,2017,1
46,47,1900.0,8,8,2017,1
47,48,11900.0,8,8,2017,1
48,49,9300.0,8,8,2017,1
49,50,3200.0,8,8,2017,1
50,51,2300.0,8,8,2017,1
51,52,5000.0,8,8,2017,1
52,53,5300.0,8,8,2017,1
53,54,5300.0,9,9,2017,2
54,55,11600.0,9,9,2017,2
55,56,4100.0,9,9,2017,2
56,57,15800.0,9,9,2017,2
57,58,15800.0,9,9,2017,2
58,59,15800.0,9,9,2017,2
59,60,15800.0,9,9,2017,2
60,61,8400.0,9,9,2017,2
61,62,22800.0,9,9,2017,2
62,63,5100.0,9,9,2017,2
63,64,1900.0,9,9,2017,2
